path	status	added	deleted	category	blob_sha_at_RC	bytes_at_RC
.github/workflows/android-build.yml	M	10	0	CI workflow	5123b803059f43ff2b2bc1aacd334e65626a6732	65465
.github/workflows/apply-migration.yml	M	75	5	CI workflow	071bb37ec019d96e6ef738daf60cd4e8b4625c7e	11629
.github/workflows/health.yml	M	5	0	CI workflow	ab08906eeb779f2dc7410d5b9da5f0ec5de89379	3088
.github/workflows/security.yml	M	7	2	CI workflow	d7a3eb07adc6dc0620e7691e14fcea45f7a667d8	3280
.github/workflows/typecheck.yml	M	5	1	CI workflow	0658d2131c8250bfe5f45082f1ffa73142399254	463
.github/workflows/ui-gate.yml	M	6	1	CI workflow	a2e04661ae3b1335497358c40cf7ca668a701393	6671
.github/workflows/verify-schema-dependencies.yml	A	108	0	CI workflow	b3b68dfa7a56aaee0c8f0bf3278695979844f447	5077
.github/workflows/web-build.yml	M	157	13	CI workflow	75da28c730c2aed3506b0d3c067ef32266d45bef	10946
.gitleaks.toml	M	38	13	root/config	6e367195876f2ab0e67a4b9d2b15ad8c1d957a10	3344
docs/DECISIONS.md	M	49	6	documentation	16e32d101325922149d2a0e6970b51046a0d3020	23488
docs/PROMOTION_LEDGER.md	A	1173	0	documentation	e150df79a16b99aad9fe90243ebbb060c14b6278	80893
functions/_seo.ts	M	64	7	Pages edge function	49fe33379724e83dd15da1069037cfffd16625b9	6232
functions/competitions/[id].ts	M	3	1	Pages edge function	1b4e19eaef39651ad11bbc406910aaef26654b77	1894
functions/courses/[slug].ts	M	3	1	Pages edge function	453dc54b33bb2947a3a4b5627fe62af8aa93cc85	1390
functions/featured-artist/[slug].ts	M	3	1	Pages edge function	cbdc3d1093460247bb88c7943c38578beebed9e8	1272
functions/journal/[slug].ts	M	3	1	Pages edge function	ec9e977debdef1c8134993eb726fabd67b80b706	1700
functions/page/[slug].ts	M	3	2	Pages edge function	9080c8c9303b567d7bec086cdb5168b6757fbcb2	1505
functions/pages-runtime.d.ts	A	24	0	Pages edge function	60693e587e332ae08d03ee7225e8c40b60851118	1071
index.html	M	16	10	root/config	b59ec2838484e906db91e03fe280bdb2aba7a5b1	7366
package.json	M	3	2	root/config	6f99b3ff0e945bfff0ee1b1c70ad8cd815fc3eaf	4490
public/_headers	M	8	2	root/config	3fe7758086a4d1b2732093b3ad7440cbfa70d922	3393
public/robots.txt	M	1	1	root/config	41421896bbbe319dc8c50854f097b9d85f3ec5e8	885
public/sitemap.xml	M	12	12	root/config	5931494996c68a22feb4e552f520c55e85e5b541	1349
scripts/generate-headers.mjs	A	125	0	build/CI script	fc6f5eb6e7af470bf36c74924cdfe8bce16d43fa	5192
scripts/generate-redirects.mjs	M	43	10	build/CI script	e9a513872a75753c18a29558fb8890649c579c2c	2463
scripts/generate-seo-assets.mjs	A	111	0	build/CI script	14da6558ff131b463d8ea5939d0652434a828417	5305
scripts/health-check.mjs	M	5	10	build/CI script	47e7e8cd904a2ba46d0ed8b647e7eb97f8a61d6e	18359
scripts/lane-config.mjs	A	73	0	build/CI script	23ba98bab25d02faecda4f0c38a9d47582da5586	3526
scripts/test-isolation-guard.mjs	M	280	3	build/CI script	cbae234b62c2b6997abdd514fa68e93104b096eb	30232
scripts/test-schema-dependencies.mjs	A	403	0	build/CI script	102423904605a36a1e75d0987ed884a5231a7a34	22321
scripts/test-seo-assets.mjs	A	274	0	build/CI script	795f087ee36e005b64af864a4ad03528d89a32f3	16401
scripts/verify-bundle-isolation.mjs	M	193	14	build/CI script	f53f79f833230c2b55aad68c416e2403d30c2b2e	14990
scripts/verify-schema-dependencies.mjs	A	906	0	build/CI script	84366d70b68c4521cd6b637cd515317f248db2f9	36914
src/__tests__/adEngagement.test.ts	M	59	0	test	8c1b8a1cbf76954990bfdd49aa84614df9f1b07f	17132
src/__tests__/candidatePatternWidening.test.ts	M	18	5	test	e90f9139a97a964fbf5368badee2afc65d4d7527	24947
src/__tests__/certificatePalette.test.ts	A	144	0	test	6d6daa7dac2fdcb3723826a061af0ca69c295ec1	5986
src/__tests__/corsOriginAllowlist.test.ts	A	115	0	test	8c56d56a05f652fa423227165d225aad6efcc11f	5126
src/__tests__/laneIsolation.test.ts	A	214	0	test	92cd80a403ed5a204b4b5273135d868e44faa988	10541
src/__tests__/manifestMigrator.test.ts	M	18	1	test	90af1f8e5d08bcaf83f1e5d213203728ef011655	27395
src/__tests__/measurePostMediaReadOnly.test.ts	M	6	2	test	52d0516a0bd0eb435213d305d966286b722af588	5638
src/__tests__/noComponentDefinedInRender.test.ts	M	112	4	test	d1dfb7def1d00ca154e3dd0977871a86b3488903	15662
src/__tests__/onePostFunnel.test.ts	M	27	2	test	d3c5b32060ec3388eecd6a5371466e8a248f6e98	12851
src/__tests__/seoLaneRequired.test.ts	A	61	0	test	5c968235b79b38a0964551ab23ae1695fc8664d2	2942
src/__tests__/storageLane.test.ts	A	187	0	test	2649a887130024cfce96eecd0452dc841009e769	9210
src/components/AutoBadge.tsx	M	48	3	web component	5208912f2de9ce9d7063146e69179aef426570c3	4010
src/components/CommentsSection.tsx	M	4	1	web component	d02ee97e471a7dc08c2b5fa34e23c439ee57bcaf	28534
src/components/MentionInput.tsx	M	43	6	web component	3dbeba858d6769d627387b0cf632453997cceb6e	18892
src/components/PageSEO.tsx	M	2	1	web component	f2ded9dc8f9bb3cd4eec1e819b1a5084ef006d00	5982
src/components/PostCommentsSection.tsx	M	62	402	web component	9486d2814c850d746c176f88a785a329db295aad	9839
src/components/ReactionSummaryTooltip.tsx	M	89	10	web component	ae5a494390a6e142a61f7f67c44d1f6bc9e5f346	12739
src/components/ShareSummaryTooltip.tsx	M	40	2	web component	c896ae71962240bfd8962b3baf709f41b5a779a5	7389
src/components/__tests__/BrandBadgeEverywhere.test.tsx	A	143	0	test	ce3c1296f1a54118224cd876488c9ebd1d6a3748	7110
src/components/__tests__/ComposerEnterKey.test.tsx	A	146	0	test	81725b3ddd86dd4c070899a2ee8beb7277dc6ec1	6406
src/components/__tests__/PrivacyGapDisclosed.test.ts	M	62	4	test	e2e3adcbbd456535991e86f4e92bd74c1366cf36	9591
src/components/__tests__/SendButtonTapTarget.test.ts	M	35	5	test	8637a70f15238a10245fbc9eaa447071cde2e63e	12603
src/components/__tests__/SummaryTriggerTapTarget.test.ts	A	108	0	test	be524dcb14746d6d82890438f31d65f122ff9912	5299
src/components/admin/AdminEmailTemplates.tsx	M	2	1	web component	8dc138c618f1179ec13a3c834efee330de9bffaf	23658
src/components/admin/AdminEmployee.tsx	M	2	1	web component	bde8d0335bcb62af2ab555046c0dbfeb663e2ffc	19388
src/components/admin/AdminSEO.tsx	M	4	3	web component	f1dee54c24c4d03375a4c6d4c73dbfaaa138afde	56371
src/components/admin/CloudflareEdgeChecklist.tsx	M	6	3	web component	a3f30f09aa747ad97c22be0c0ef542462b3d311a	12225
src/components/ads/AdComments.tsx	M	104	307	web component	27d9d8c682410f4f50fd9e61291791bfba7d1422	7928
src/components/ads/AdEngagementBar.tsx	M	42	76	web component	ff7025d4744a6debe854922bd20a48de02d996df	6843
src/components/ads/__tests__/StoryCardComments.test.tsx	A	201	0	test	fd2b6b50b892c205f5ecb961f3a2ddc6b87e7ebd	8714
src/components/ads/__tests__/StoryCardReactions.test.tsx	A	218	0	test	626449ba3209ef7dabc67b83b734a67c61b7419d	9126
src/components/comments/CommentThread.tsx	A	588	0	web component	6bc6554b5e86252c61ffb7d211501d6b1a30b07d	26202
src/components/comments/__tests__/CommentLineBreaks.test.tsx	A	196	0	test	d6b5a47007e3b6cc446a416c2ce3351a22004b10	9205
src/components/post/PostActionRow.tsx	A	248	0	web component	633cb654eee21fb228356da748f907383906d9b1	10752
src/components/post/PostCard.tsx	M	57	152	web component	fc388858d386ac854b1ce934161f6910e2195bc0	36781
src/components/post/PostMedia.tsx	M	13	5	web component	bc38b6c7468467ea923fbb7df951f4e093bc50ab	40097
src/components/post/PrivacyGapNotice.tsx	M	24	5	web component	eec581bf387831147fdc000c2c8335b3ffc9c13e	4673
src/components/post/__tests__/PostFullBleedAndTapTargets.test.ts	M	119	17	test	2bc6bdb76c962f7f37dd77824611874e4230c578	25454
src/components/post/__tests__/feedScreenFindings.test.ts	M	40	9	test	6cd5622ead60d968aa8c505e99539ff459c90774	9680
src/components/profile/QRCodeCard.tsx	M	2	1	web component	177beaa183c59cfc7380141bdbf2718126cddf7a	3588
src/lib/cdnImage.ts	M	3	2	web library	0a8f0811d7448512280678424db976b9dfdb5422	5888
src/lib/env.ts	A	68	0	web library	d041569de92a6575ecd933691f4503161722c35a	3767
src/lib/generateArticlePdf.ts	M	2	1	web library	0fd36e35f64f3685c282047e0ce9a3ebc14278e7	31585
src/lib/generateCertificatePdf.ts	M	39	7	web library	b19b06f24c8d76fa12263f2ed39b647db29d96e7	29845
src/lib/media/postMediaRead.ts	M	6	1	web library	660d66e190378dd78b6849f4687f9d3ff3ca36da	9564
src/lib/profilePhoto.ts	M	2	2	web library	90b0c7d74c4299f6e9d7d3195f55219331e71c9e	5245
