slug	702e5ce_strict	a42b209e_strict	702e5ce_imap_excluded	a42b209e_imap_excluded
ad-reward-credit	MATCH	MATCH	MATCH	MATCH
admin-export-db	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
admin-process-withdrawal	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
admin-secure-settings	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
analyze-gallery-image	DRIFT	DRIFT	DRIFT	DRIFT
apply-scheduled-boosts	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
ask-anything	DRIFT	DRIFT	DRIFT	DRIFT
auth-email-hook	DRIFT	DRIFT	DRIFT	DRIFT
autoscale-ad-traffic	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
backfill-image-dims	DRIFT	DRIFT	DRIFT	DRIFT
backfill-image-hashes	MATCH	MATCH	MATCH	MATCH
backfill-thumbnails	DRIFT	DRIFT	DRIFT	DRIFT
backup-reminder	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
brevo-webhook	MATCH	MATCH	MATCH	MATCH
cast-photo-vote	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
complete-round	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
create-payment-session	DRIFT	DRIFT	DRIFT	DRIFT
dashboard-init	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
delete-my-account	DRIFT	DRIFT	DRIFT	DRIFT
delete-user	DRIFT	DRIFT	DRIFT	DRIFT
detect-ai-image	DRIFT	DRIFT	DRIFT	DRIFT
detect-orphan-files	DRIFT	DRIFT	DRIFT	DRIFT
diagnose-brevo-key	MATCH	MATCH	MATCH	MATCH
entry-final-votes	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
evaluate-round2	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
expire-gift-credits	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
fix-cache-headers	MATCH	MATCH	MATCH	MATCH
ga-report	MATCH	MATCH	MATCH	MATCH
get-payment-gateways-public	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
get-wallet-summary	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
get-wallet-transactions	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
handle-email-suppression	DRIFT	DRIFT	MATCH	MATCH
handle-email-unsubscribe	DRIFT	DRIFT	MATCH	MATCH
hard-delete-competition	DRIFT	DRIFT	DRIFT	DRIFT
judge-session-resume	MATCH	MATCH	MATCH	MATCH
judging-invariants-nightly	MATCH	MATCH	MATCH	MATCH
manage-notifications	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
measure-post-media	DRIFT	DRIFT	DRIFT	DRIFT
media-register-upload	DRIFT	DRIFT	DRIFT	DRIFT
migrate-post-media	DRIFT	DRIFT	DRIFT	DRIFT
migrate-storage	DRIFT	DRIFT	DRIFT	DRIFT
moderate-comment	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
paypal-capture-order	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
preview-transactional-email	DRIFT	DRIFT	DRIFT	DRIFT
process-email-queue	DRIFT	DRIFT	DRIFT	DRIFT
publish-round	MATCH	MATCH	MATCH	MATCH
publish-scheduled-posts	MATCH	MATCH	MATCH	MATCH
purge-s3-orphans	DRIFT	DRIFT	DRIFT	DRIFT
rank-feed	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
razorpay-verify-payment	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
s3-delete	DRIFT	DRIFT	DRIFT	DRIFT
s3-presign-upload	DRIFT	DRIFT	DRIFT	DRIFT
s3-signed-url	DRIFT	DRIFT	DRIFT	DRIFT
s3-upload	DRIFT	DRIFT	DRIFT	DRIFT
send-broadcast-push	MATCH	MATCH	MATCH	MATCH
send-gift-credit	DRIFT	HEADER-ONLY	DRIFT	HEADER-ONLY
send-push	MATCH	MATCH	MATCH	MATCH
send-reengagement-emails	DRIFT	DRIFT	DRIFT	DRIFT
send-transactional-email	DRIFT	DRIFT	DRIFT	DRIFT
seo-crawler-verify	DRIFT	DRIFT	DRIFT	DRIFT
seo-route-metadata	DRIFT	DRIFT	DRIFT	DRIFT
sitemap	DRIFT	DRIFT	DRIFT	DRIFT
submit-deposit	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY	HEADER-ONLY
submit-judge-comment	MATCH	MATCH	MATCH	MATCH
submit-judge-decision	DRIFT	DRIFT	DRIFT	DRIFT
submit-judge-score	MATCH	MATCH	MATCH	MATCH
submit-judge-tag	MATCH	MATCH	MATCH	MATCH
test-smtp	MATCH	MATCH	MATCH	MATCH
translate-text	MATCH	MATCH	MATCH	MATCH
verify-email-provider	MATCH	MATCH	MATCH	MATCH
verify-image-hash	MATCH	MATCH	MATCH	MATCH
